parameter,est.std,se,p,ci.lower,ci.upper,rad_est.sdt
M1m,5.993,0.122,0,5.753,6.233,NA
M1w,5.833,0.121,0,5.596,6.07,NA
M2m,7.167,0.091,0,6.988,7.346,NA
M2w,7.421,0.092,0,7.241,7.601,NA
M3m,5.185,0.084,0,5.02,5.35,NA
M3w,5.553,0.085,0,5.386,5.719,NA
β1,-0.092,0.016,0,-0.123,-0.06,NA
β2,-0.038,0.011,0.001,-0.06,-0.017,NA
β3,-0.032,0.011,0.004,-0.054,-0.011,NA
λA1,0.831,0.013,0,0.806,0.857,0.691
λA12,-0.046,0.028,0.095,-0.1,0.008,0.002
λA13,0.254,0.025,0,0.205,0.303,0.065
λA2,0.578,0.022,0,0.534,0.622,0.334
λA23,0.311,0.03,0,0.252,0.369,0.096
λA3,0.617,0.019,0,0.579,0.655,0.381
λE1,0.548,0.019,0,0.51,0.586,0.3
λE12,0.079,0.036,0.03,0.008,0.15,0.006
λE13,-0.002,0.031,0.95,-0.062,0.058,0
λE2,0.81,0.016,0,0.778,0.841,0.656
λE23,0.148,0.019,0,0.111,0.185,0.022
λE3,0.66,0.013,0,0.633,0.686,0.435
