parameter,est,std.all,se,p,ci.lower,ci.upper
M1w,17.736,5.105,0.257,0,17.232,18.24
b_P1,-0.029,-0.063,0.005,0,-0.038,-0.019
M2w,16.746,5.09,0.243,0,16.27,17.222
b_P2,-0.017,-0.04,0.005,0,-0.026,-0.008
M3w,12.159,3.165,0.286,0,11.598,12.719
b_P3,-0.006,-0.013,0.006,0.24,-0.017,0.004
M4w,16.222,4.49,0.272,0,15.69,16.754
b_P4,-0.004,-0.009,0.005,0.417,-0.015,0.006
M5w,13.522,3.779,0.269,0,12.996,14.049
b_P5,-0.004,-0.008,0.005,0.456,-0.014,0.006
σ2age,57.897,1,0.988,0,55.96,59.834
λA1,1.731,0.498,0.079,0,1.577,1.885
λA2,1.804,0.548,0.075,0,1.657,1.951
λA3,1.889,0.492,0.088,0,1.716,2.062
λA4,1.621,0.449,0.083,0,1.457,1.784
λA5,2.011,0.562,0.076,0,1.862,2.159
σ2Au1,1.843,1,0.206,0,1.44,2.247
σ2Au2,0.679,1,0.144,0,0.396,0.962
σ2Au3,2.602,1,0.24,0,2.132,3.071
σ2Au4,3.88,1,0.227,0,3.435,4.326
σ2Au5,2.185,1,0.2,0,1.793,2.576
σ2E1,7.183,1,0.299,0,6.597,7.768
σ2E2,6.872,1,0.267,0,6.349,7.396
σ2E3,8.584,1,0.338,0,7.921,9.247
σ2E4,6.546,1,0.271,0,6.014,7.078
σ2E5,6.578,1,0.255,0,6.078,7.078
σE12,3.845,0.547,0.211,0,3.432,4.258
σE13,2.539,0.323,0.207,0,2.133,2.946
σE14,2.682,0.391,0.194,0,2.301,3.063
σE15,3.18,0.463,0.206,0,2.776,3.585
σE23,3.945,0.514,0.238,0,3.478,4.412
σE24,2.287,0.341,0.181,0,1.932,2.643
σE25,2.791,0.415,0.187,0,2.425,3.157
σE34,2.284,0.305,0.199,0,1.893,2.674
σE35,2.917,0.388,0.21,0,2.506,3.328
σE45,2.773,0.423,0.2,0,2.38,3.166
M1m,16.417,4.725,0.259,0,15.908,16.925
M2m,15.989,4.86,0.245,0,15.508,16.47
M3m,12.959,3.374,0.289,0,12.393,13.525
M4m,13.403,3.71,0.274,0,12.865,13.94
M5m,12.594,3.519,0.271,0,12.062,13.125
